コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
403,仙台,"1,494,571","367,450","4,621",77,16167,3823,1262,11072
406,大崎・栗原,"266,637","89,612",482,25,3165,692,911,1527
409,石巻・登米・気仙沼,"342,717","115,935",569,21,3665,1023,640,1994
501,県北,"219,453","89,221",,9,1507,324,325,848
502,県央,"489,968","165,586","1,359",2,464,184,48,224
503,県南,"275,995","105,276",,6,1238,270,247,717
601,村山,"536,004","169,115","1,572",33,7660,2201,858,4563
602,最上,"73,776","26,112",105,5,1019,180,92,745
603,置賜,"203,624","68,337",400,15,2435,460,374,1597
604,庄内,"268,892","94,644",531,14,3095,650,744,1697
701,県北,"438,149","136,498","1,460",31,5888,1520,359,3975
702,県中,"520,215","145,648","1,098",32,6987,1712,740,4529
703,県南,"141,305","41,733",227,8,1518,470,125,907
706,相双,"169,727","56,473",182,10,1485,303,282,900
707,いわき,"321,535","97,758",473,26,4608,1199,1061,2327
708,会津・南会津,"268,325","91,050",518,18,3842,1025,492,2303
801,水戸,"466,845","132,508","1,221",39,6189,1228,846,4080
802,日立,"249,278","81,036",431,21,3868,1303,699,1862
803,常陸太田・ひたちなか,"360,864","108,092",423,20,2402,323,527,1526
804,鹿行,"274,345","79,366",251,11,1716,178,591,941
805,土浦,"258,287","77,309",559,17,3135,1168,467,1494
806,つくば,"352,534","77,553","1,437",16,3793,516,617,2621
807,取手・竜ヶ崎,"466,010","140,123",,23,4719,1151,567,2993
808,筑西・下妻,"262,770","78,756",309,14,2291,377,901,1013
809,古河・坂東,"230,503","65,246",350,12,2587,999,218,1366
901,県北,"372,342","110,979",595,21,3905,1071,794,2034
902,県西,"178,702","56,956",279,11,1755,441,452,858
903,宇都宮,"521,754","130,605","1,124",30,6032,1877,1156,2963
904,県東,"143,442","41,566",205,5,1017,240,181,592
905,県南,"483,866","132,233","2,064",21,5013,516,730,3760
906,両毛,"265,410","82,724",506,16,2913,674,537,1698
1001,前橋,"336,115","97,534","1,580",20,4361,922,382,3040
1002,渋川,"113,200","34,816",257,10,2183,977,100,1056
1003,伊勢崎,"249,700","61,951",454,11,2649,757,420,1468
1004,高崎・安中,"430,496","123,806",934,31,4577,878,929,2754
1005,藤岡,"68,074","21,985",164,5,902,-,191,707
1006,富岡,"70,429","24,912",161,4,1011,360,107,540
1007,吾妻,"40,772","15,339",79,9,1377,223,396,754
1008,沼田,"74,952","26,700",164,7,962,-,270,688
1009,桐生,"160,475","53,746",305,12,2065,286,553,1222
